"Points:0","Points:1","Points:2","arc_length","p"
0.16875,0.011467,0,0.18889,-53.14
0.16981,0.011156,0,0.18999,-50.816
0.17085,0.010847,0,0.19108,-48.455
0.1719,0.010538,0,0.19217,-46.452
0.17295,0.010227,0,0.19327,-45.057
0.17401,0.009882,0,0.19438,-42.8
0.17507,0.0095354,0,0.19549,-39.926
0.17613,0.0091893,0,0.19661,-38.152
0.17692,0.0089141,0,0.19744,-35.734
0.17771,0.0086369,0,0.19829,-32.801
0.17851,0.0083603,0,0.19913,-30.594
0.17945,0.0080053,0,0.20013,-28.411
0.18038,0.0076501,0,0.20113,-25.776
0.18132,0.0072948,0,0.20214,-23.109
0.18226,0.0069393,0,0.20314,-20.729
0.1832,0.0065845,0,0.20414,-18.748
0.18406,0.0062045,0,0.20508,-16.796
0.18492,0.0058251,0,0.20602,-14.577
0.18577,0.0054461,0,0.20696,-12.403
0.18678,0.0049748,0,0.20807,-10.506
0.18779,0.0045035,0,0.20918,-8.6291
0.18879,0.0040342,0,0.21029,-7.2943
0.18953,0.0036471,0,0.21112,-6.5908
0.18987,0.0034952,0,0.21149,-5.5957
0.19061,0.0030545,0,0.21235,-4.6241
0.19135,0.0026112,0,0.21322,-3.9875
0.19232,0.001998,0,0.21437,-3.511
0.19277,0.0016826,0,0.21492,-2.9576
0.19334,0.0012002,0,0.21566,-1.841
0.19388,0.0007233,0,0.21639,-0.88979
0.19412,0.00052069,0,0.21669,-1.3588
0.19417,0.00026761,0,0.21695,-2.7371
0.194,0.0001275,0,0.21717,-3.3958
0.19376,1.7394e-05,0,0.21744,-3.9262
0.19338,-0.00012055,0,0.21783,-5.4516
0.19304,-0.00020574,0,0.21818,-8.351
0.19275,-0.00026414,0,0.21848,-12.369
0.19245,-0.0002991,0,0.21879,-10.877
0.19212,-0.00026414,0,0.21912,-3.9088
0.19168,-0.0001832,0,0.21957,-1.5555
0.19129,-0.00014219,0,0.21996,-6.4011
0.19095,-0.00012055,0,0.2203,-15.189
0.19067,-0.00012055,0,0.22058,-22.23
0.19019,-0.00013137,0,0.22106,-29.112
0.1899,-0.00016517,0,0.22135,-28.898
0.18903,-0.00033976,0,0.22224,-34.554
0.188,-0.00059652,0,0.2233,-42.501
0.18771,-0.00062983,0,0.22359,-64.394
0.18756,-0.00060767,0,0.22374,-93.228
0.18687,-0.00068655,0,0.22444,-98.949
0.18641,-0.00068655,0,0.2249,-88.945
0.18601,-0.00062645,0,0.22531,-62.235
0.1859,-0.00060712,0,0.22541,-80.23
0.1858,-0.00060712,0,0.22551,-126.37
0.18564,-0.0005952,0,0.22567,-122.87
0.18511,-0.00059602,0,0.2262,-135.01
0.18484,-0.00056426,0,0.22647,-150.81
0.1839,-0.00033976,0,0.22744,-138.49
0.18355,-0.00022576,0,0.22781,-104.94
0.18271,0.00023618,0,0.22877,-55.725
0.18186,0.00070043,0,0.22973,-13.448
0.18099,0.0012754,0,0.23078,17.41
0.18071,0.0014099,0,0.23109,21.524
0.18051,0.0015429,0,0.23133,31.872
0.18011,0.0018183,0,0.23181,39.426
0.17976,0.0019804,0,0.2322,34.306
0.17922,0.0021723,0,0.23277,27.124
0.17866,0.0023272,0,0.23336,23.949
0.17838,0.0024467,0,0.23366,33.508
0.17793,0.0027206,0,0.23419,47.875
0.1775,0.0029557,0,0.23468,57.951
0.17692,0.0032383,0,0.23532,54.932
0.17649,0.0034172,0,0.23579,52.338
0.17518,0.00387,0,0.23718,58.228
0.1744,0.0041008,0,0.23799,58.289
0.17385,0.00425,0,0.23856,58.044
0.1734,0.0043935,0,0.23903,60.694
0.17297,0.0045355,0,0.23948,62.262
0.17264,0.0046141,0,0.23982,61.274
0.17237,0.0046607,0,0.2401,59.479
0.17212,0.0046897,0,0.24035,58.208
0.17196,0.0047058,0,0.24051,54.83
0.17181,0.0047304,0,0.24066,42.601
0.17158,0.0047813,0,0.24089,44.502
0.17063,0.0050952,0,0.2419,58.479
0.16968,0.0054106,0,0.2429,64.973
0.16872,0.005726,0,0.24391,68.431
0.168,0.0059066,0,0.24465,65.301
0.16722,0.0060393,0,0.24544,62.026
0.16644,0.0061724,0,0.24623,66.279
0.16574,0.0064055,0,0.24697,69.227
0.16499,0.0065888,0,0.24775,63.785
0.16384,0.0067193,0,0.2489,66.9
0.16286,0.0070277,0,0.24993,71.233
0.16188,0.0071992,0,0.25092,73.919
0.16097,0.0074905,0,0.25188,77.475
0.16029,0.0076094,0,0.25257,69.368
0.15995,0.0076363,0,0.25291,62.187
0.15895,0.0076363,0,0.25391,65.535
0.1581,0.0078039,0,0.25478,69.645
0.15724,0.0079724,0,0.25565,70.701
0.15638,0.0081375,0,0.25653,72.017
0.15553,0.0083018,0,0.2574,73.037
0.15468,0.0084657,0,0.25826,78.088
0.15379,0.0087067,0,0.25918,80.43
0.15326,0.0087667,0,0.25971,73.964
0.15254,0.0087787,0,0.26043,69.459
0.1515,0.0088201,0,0.26147,71.332
0.15043,0.0089949,0,0.26256,72.543
0.14926,0.0091459,0,0.26374,75.367
0.14884,0.0092283,0,0.26417,77.446
0.14843,0.0092987,0,0.26458,77.878
0.14818,0.0093369,0,0.26483,73.908
0.14796,0.0093661,0,0.26506,72.693
0.14729,0.009509,0,0.26574,74.955
0.14621,0.009509,0,0.26683,73.963
0.14565,0.0095803,0,0.26738,71.999
0.1447,0.0096183,0,0.26834,72.519
0.14418,0.0097288,0,0.26887,79.3
0.14312,0.010018,0,0.26997,78.709
0.14214,0.010018,0,0.27095,72.283
0.14086,0.0099462,0,0.27223,71.883
0.1401,0.010033,0,0.273,75.688
0.13956,0.010149,0,0.27355,76.775
0.13897,0.010257,0,0.27415,76.643
0.13809,0.010292,0,0.27503,75.636
0.13763,0.010266,0,0.27549,71.21
0.13737,0.010294,0,0.27575,73.375
0.13671,0.010475,0,0.27643,79.653
0.13549,0.010606,0,0.27766,77.348
0.13444,0.010581,0,0.27872,78.221
0.13415,0.010593,0,0.279,77.795
0.13403,0.010605,0,0.27912,74.176
0.13324,0.010637,0,0.27992,74.975
0.13244,0.010669,0,0.28072,75.083
0.13122,0.01074,0,0.28194,75.959
0.13,0.010812,0,0.28316,76.965
0.12917,0.010845,0,0.28399,76.203
0.12833,0.010878,0,0.28483,76.408
0.12734,0.010926,0,0.28582,77.649
0.12677,0.010926,0,0.28639,72.897
0.12625,0.010878,0,0.28691,68.98
0.12543,0.010878,0,0.28774,71.9
0.12457,0.010952,0,0.2886,74.803
0.1237,0.011025,0,0.28947,76.599
0.12284,0.011099,0,0.29033,77.082
0.12182,0.011116,0,0.29135,78.15
0.12111,0.011177,0,0.29207,77.671
0.12009,0.011189,0,0.29309,76.207
0.11907,0.0112,0,0.29411,78.7
0.11865,0.0112,0,0.29453,77.887
0.11837,0.011169,0,0.29481,71.518
0.11805,0.011146,0,0.29513,71.764
0.11731,0.011175,0,0.29587,74.964
0.11679,0.011161,0,0.29639,74.738
0.11638,0.011164,0,0.2968,78.02
0.11595,0.011214,0,0.29724,76.001
0.11566,0.011225,0,0.29752,72.903
0.11468,0.011197,0,0.29851,75.6
0.1139,0.011243,0,0.29928,74.401
